,Country,Snippets,class
33,denmark,"The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",happy
34,denmark,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",happy
35,denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,happy
36,denmark,"Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",happy
37,denmark,"Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",happy
38,denmark,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,happy
39,denmark,"A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",happy
40,denmark,"This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",happy
41,denmark,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,happy
42,denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,happy
43,denmark,"The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",happy
44,denmark,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",happy
45,denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,happy
46,denmark,"Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",happy
47,denmark,"Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",happy
48,denmark,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,happy
49,denmark,"A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",happy
0,benin,"Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",unhappy
1,benin,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",unhappy
2,benin,The horrors of a refugee crisis that the world feels free to ignore.,unhappy
3,benin,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",unhappy
4,benin,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,unhappy
5,benin,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,unhappy
6,benin,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",unhappy
7,benin,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",unhappy
8,benin,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",unhappy
9,benin,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",unhappy
10,benin,"Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",unhappy
11,benin,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",unhappy
12,benin,The horrors of a refugee crisis that the world feels free to ignore.,unhappy
13,benin,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",unhappy
14,benin,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,unhappy
15,benin,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,unhappy
16,benin,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",unhappy
17,benin,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",unhappy
18,benin,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",unhappy
19,benin,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",unhappy
20,benin,"Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",unhappy
21,benin,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",unhappy
22,benin,The horrors of a refugee crisis that the world feels free to ignore.,unhappy
23,benin,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",unhappy
24,benin,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,unhappy
25,benin,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,unhappy
26,benin,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",unhappy
27,benin,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",unhappy
28,benin,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",unhappy
29,benin,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",unhappy
30,benin,"Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",unhappy
31,benin,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",unhappy
32,benin,The horrors of a refugee crisis that the world feels free to ignore.,unhappy
33,benin,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",unhappy
34,benin,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,unhappy
35,benin,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,unhappy
36,benin,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",unhappy
37,benin,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",unhappy
38,benin,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",unhappy
39,benin,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",unhappy
40,benin,"Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",unhappy
41,benin,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",unhappy
42,benin,The horrors of a refugee crisis that the world feels free to ignore.,unhappy
43,benin,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",unhappy
44,benin,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,unhappy
45,benin,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,unhappy
46,benin,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",unhappy
47,benin,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",unhappy
48,benin,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",unhappy
49,benin,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",unhappy
50,brazil,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
51,brazil,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
52,brazil,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
53,brazil,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
54,brazil,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
55,brazil,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
56,brazil,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
57,brazil,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
58,brazil,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
59,brazil,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
60,brazil,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
61,brazil,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
62,brazil,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
63,brazil,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
64,brazil,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
65,brazil,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
66,brazil,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
67,brazil,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
68,brazil,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
69,brazil,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
70,brazil,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
71,brazil,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
72,brazil,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
73,brazil,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
74,brazil,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
75,brazil,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
76,brazil,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
77,brazil,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
78,brazil,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
79,brazil,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
80,brazil,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
81,brazil,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
82,brazil,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
83,brazil,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
84,brazil,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
85,brazil,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
86,brazil,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
87,brazil,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
88,brazil,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
89,brazil,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
90,brazil,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
91,brazil,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
92,brazil,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
93,brazil,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
94,brazil,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
95,brazil,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
96,brazil,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
97,brazil,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
98,brazil,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
99,brazil,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
100,canada,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
101,canada,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
102,canada,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
103,canada,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
104,canada,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
105,canada,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
106,canada,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
107,canada,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
