,Country,Snippets,class
31,brazil,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
32,brazil,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
33,brazil,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
34,brazil,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
35,brazil,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
36,brazil,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
37,brazil,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
38,brazil,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
39,brazil,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
40,brazil,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
41,brazil,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
42,brazil,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
43,brazil,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
44,brazil,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
45,brazil,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
46,brazil,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
47,brazil,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
48,brazil,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
49,brazil,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
0,canada,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
1,canada,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
2,canada,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
3,canada,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
4,canada,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
5,canada,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
6,canada,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
7,canada,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
8,canada,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
9,canada,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
10,canada,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
11,canada,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
12,canada,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
13,canada,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
14,canada,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
15,canada,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
16,canada,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
17,canada,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
18,canada,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
19,canada,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
20,canada,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
21,canada,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
22,canada,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
23,canada,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
24,canada,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
25,canada,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
26,canada,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
27,canada,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
28,canada,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
29,canada,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
30,canada,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
31,canada,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
32,canada,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
33,canada,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
34,canada,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
35,canada,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
36,canada,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
37,canada,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
38,canada,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
39,canada,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
40,canada,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
41,canada,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
42,canada,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
43,canada,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
44,canada,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
45,canada,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
46,canada,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
47,canada,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
48,canada,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
49,canada,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
0,bhutan,"Though still a religious symbol, phalluses have become a curio to peddle in all sizes and colors to the increasing number of visitors to this Himalayan kingdom.",unhappy
1,bhutan,"India is determined to stand firm against China, while China will show no weakness in a territorial dispute.",unhappy
2,bhutan,"There are fears that ambition and nationalism could lead China and India to war again, but now with more firepower at their disposal.",unhappy
3,bhutan,Is a single photograph enough to find your soul mate?,unhappy
4,bhutan,"There is a dark side to Bhutan’s gauge, a reader says.",unhappy
5,bhutan,Dasho Karma Ura has spent years defining Gross National Happiness. But persuading other nations to adopt an index aimed at spiritual well-being has had its challenges.,unhappy
6,bhutan,China and India have come close to the brink of conflict over 34 square miles of land.,unhappy
7,bhutan,"The two nuclear powers are fighting over a border, but their battle is really over the shape of Asia’s future.",unhappy
8,bhutan,"Analysts say that both sides gave ground, ending one of the worst diplomatic flare-ups between the nuclear-armed Asian rivals in decades.",unhappy
9,bhutan,We’re off the coast of Queensland for this week’s newsletter. And it’s not looking good.,unhappy
10,bhutan,"Though still a religious symbol, phalluses have become a curio to peddle in all sizes and colors to the increasing number of visitors to this Himalayan kingdom.",unhappy
11,bhutan,"India is determined to stand firm against China, while China will show no weakness in a territorial dispute.",unhappy
12,bhutan,"There are fears that ambition and nationalism could lead China and India to war again, but now with more firepower at their disposal.",unhappy
13,bhutan,Is a single photograph enough to find your soul mate?,unhappy
14,bhutan,"There is a dark side to Bhutan’s gauge, a reader says.",unhappy
15,bhutan,Dasho Karma Ura has spent years defining Gross National Happiness. But persuading other nations to adopt an index aimed at spiritual well-being has had its challenges.,unhappy
16,bhutan,China and India have come close to the brink of conflict over 34 square miles of land.,unhappy
17,bhutan,"The two nuclear powers are fighting over a border, but their battle is really over the shape of Asia’s future.",unhappy
18,bhutan,"Analysts say that both sides gave ground, ending one of the worst diplomatic flare-ups between the nuclear-armed Asian rivals in decades.",unhappy
19,bhutan,We’re off the coast of Queensland for this week’s newsletter. And it’s not looking good.,unhappy
20,bhutan,"Though still a religious symbol, phalluses have become a curio to peddle in all sizes and colors to the increasing number of visitors to this Himalayan kingdom.",unhappy
21,bhutan,"India is determined to stand firm against China, while China will show no weakness in a territorial dispute.",unhappy
22,bhutan,"There are fears that ambition and nationalism could lead China and India to war again, but now with more firepower at their disposal.",unhappy
23,bhutan,Is a single photograph enough to find your soul mate?,unhappy
24,bhutan,"There is a dark side to Bhutan’s gauge, a reader says.",unhappy
25,bhutan,Dasho Karma Ura has spent years defining Gross National Happiness. But persuading other nations to adopt an index aimed at spiritual well-being has had its challenges.,unhappy
26,bhutan,China and India have come close to the brink of conflict over 34 square miles of land.,unhappy
27,bhutan,"The two nuclear powers are fighting over a border, but their battle is really over the shape of Asia’s future.",unhappy
28,bhutan,"Analysts say that both sides gave ground, ending one of the worst diplomatic flare-ups between the nuclear-armed Asian rivals in decades.",unhappy
29,bhutan,We’re off the coast of Queensland for this week’s newsletter. And it’s not looking good.,unhappy
30,bhutan,"Though still a religious symbol, phalluses have become a curio to peddle in all sizes and colors to the increasing number of visitors to this Himalayan kingdom.",unhappy
31,bhutan,"India is determined to stand firm against China, while China will show no weakness in a territorial dispute.",unhappy
32,bhutan,"There are fears that ambition and nationalism could lead China and India to war again, but now with more firepower at their disposal.",unhappy
33,bhutan,Is a single photograph enough to find your soul mate?,unhappy
34,bhutan,"There is a dark side to Bhutan’s gauge, a reader says.",unhappy
35,bhutan,Dasho Karma Ura has spent years defining Gross National Happiness. But persuading other nations to adopt an index aimed at spiritual well-being has had its challenges.,unhappy
36,bhutan,China and India have come close to the brink of conflict over 34 square miles of land.,unhappy
37,bhutan,"The two nuclear powers are fighting over a border, but their battle is really over the shape of Asia’s future.",unhappy
38,bhutan,"Analysts say that both sides gave ground, ending one of the worst diplomatic flare-ups between the nuclear-armed Asian rivals in decades.",unhappy
39,bhutan,We’re off the coast of Queensland for this week’s newsletter. And it’s not looking good.,unhappy
40,bhutan,"Though still a religious symbol, phalluses have become a curio to peddle in all sizes and colors to the increasing number of visitors to this Himalayan kingdom.",unhappy
41,bhutan,"India is determined to stand firm against China, while China will show no weakness in a territorial dispute.",unhappy
42,bhutan,"There are fears that ambition and nationalism could lead China and India to war again, but now with more firepower at their disposal.",unhappy
43,bhutan,Is a single photograph enough to find your soul mate?,unhappy
44,bhutan,"There is a dark side to Bhutan’s gauge, a reader says.",unhappy
45,bhutan,Dasho Karma Ura has spent years defining Gross National Happiness. But persuading other nations to adopt an index aimed at spiritual well-being has had its challenges.,unhappy
46,bhutan,China and India have come close to the brink of conflict over 34 square miles of land.,unhappy
47,bhutan,"The two nuclear powers are fighting over a border, but their battle is really over the shape of Asia’s future.",unhappy
48,bhutan,"Analysts say that both sides gave ground, ending one of the worst diplomatic flare-ups between the nuclear-armed Asian rivals in decades.",unhappy
49,bhutan,We’re off the coast of Queensland for this week’s newsletter. And it’s not looking good.,unhappy
0,lithuania,"Lonzo Ball’s younger brothers gave up any chance of playing college basketball by signing with an agent, and will now try to succeed against the pros in Europe.",happy
1,lithuania,"It all started with a message on Twitter in the wee hours of the morning. Less than a week later, the brothers signed a contract and sent the town into a frenzy.",happy
2,lithuania,"From the Jewish districts of historic cities to small, out-of-the-way towns once known as shtetls, the author finds remnants of the past at every turn.",happy
3,lithuania,The viral publisher Bored Panda is thriving on the social network despite the algorithm changes that doomed its competitors.,happy
4,lithuania,Mummified bodies in a crypt in Lithuania are teaching scientists about health and disease among people who lived long ago.,happy
5,lithuania,"Hidden in a church basement and forgotten, the books and documents recently discovered provide sharp new insights into Jewish life and literature.",happy
6,lithuania,President Recep Tayyip Erdogan joined his prime minister and foreign minister in criticizing Washington’s decision to arm the Y.P.G. militant group.,happy
7,lithuania,The defense secretary reassured Baltic nations rattled by recent Russian actions and by cyberattacks against NATO troops stationed in Lithuania.,happy
8,lithuania,"The Royal Air Force tracked the flight, which originated in Kaunas, Lithuania, because of a security threat that the airline later said was most likely a hoax.",happy
9,lithuania,President Trump recapped 10 months of his foreign policy in a speech on Wednesday that contained several inaccurate claims.,happy
10,lithuania,"Lonzo Ball’s younger brothers gave up any chance of playing college basketball by signing with an agent, and will now try to succeed against the pros in Europe.",happy
11,lithuania,"It all started with a message on Twitter in the wee hours of the morning. Less than a week later, the brothers signed a contract and sent the town into a frenzy.",happy
12,lithuania,"From the Jewish districts of historic cities to small, out-of-the-way towns once known as shtetls, the author finds remnants of the past at every turn.",happy
13,lithuania,The viral publisher Bored Panda is thriving on the social network despite the algorithm changes that doomed its competitors.,happy
14,lithuania,Mummified bodies in a crypt in Lithuania are teaching scientists about health and disease among people who lived long ago.,happy
15,lithuania,"Hidden in a church basement and forgotten, the books and documents recently discovered provide sharp new insights into Jewish life and literature.",happy
16,lithuania,President Recep Tayyip Erdogan joined his prime minister and foreign minister in criticizing Washington’s decision to arm the Y.P.G. militant group.,happy
17,lithuania,The defense secretary reassured Baltic nations rattled by recent Russian actions and by cyberattacks against NATO troops stationed in Lithuania.,happy
18,lithuania,"The Royal Air Force tracked the flight, which originated in Kaunas, Lithuania, because of a security threat that the airline later said was most likely a hoax.",happy
19,lithuania,President Trump recapped 10 months of his foreign policy in a speech on Wednesday that contained several inaccurate claims.,happy
20,lithuania,"Lonzo Ball’s younger brothers gave up any chance of playing college basketball by signing with an agent, and will now try to succeed against the pros in Europe.",happy
21,lithuania,"It all started with a message on Twitter in the wee hours of the morning. Less than a week later, the brothers signed a contract and sent the town into a frenzy.",happy
22,lithuania,"From the Jewish districts of historic cities to small, out-of-the-way towns once known as shtetls, the author finds remnants of the past at every turn.",happy
23,lithuania,The viral publisher Bored Panda is thriving on the social network despite the algorithm changes that doomed its competitors.,happy
24,lithuania,Mummified bodies in a crypt in Lithuania are teaching scientists about health and disease among people who lived long ago.,happy
25,lithuania,"Hidden in a church basement and forgotten, the books and documents recently discovered provide sharp new insights into Jewish life and literature.",happy
26,lithuania,President Recep Tayyip Erdogan joined his prime minister and foreign minister in criticizing Washington’s decision to arm the Y.P.G. militant group.,happy
27,lithuania,The defense secretary reassured Baltic nations rattled by recent Russian actions and by cyberattacks against NATO troops stationed in Lithuania.,happy
28,lithuania,"The Royal Air Force tracked the flight, which originated in Kaunas, Lithuania, because of a security threat that the airline later said was most likely a hoax.",happy
29,lithuania,President Trump recapped 10 months of his foreign policy in a speech on Wednesday that contained several inaccurate claims.,happy
30,lithuania,"Lonzo Ball’s younger brothers gave up any chance of playing college basketball by signing with an agent, and will now try to succeed against the pros in Europe.",happy
31,lithuania,"It all started with a message on Twitter in the wee hours of the morning. Less than a week later, the brothers signed a contract and sent the town into a frenzy.",happy
32,lithuania,"From the Jewish districts of historic cities to small, out-of-the-way towns once known as shtetls, the author finds remnants of the past at every turn.",happy
33,lithuania,The viral publisher Bored Panda is thriving on the social network despite the algorithm changes that doomed its competitors.,happy
34,lithuania,Mummified bodies in a crypt in Lithuania are teaching scientists about health and disease among people who lived long ago.,happy
35,lithuania,"Hidden in a church basement and forgotten, the books and documents recently discovered provide sharp new insights into Jewish life and literature.",happy
36,lithuania,President Recep Tayyip Erdogan joined his prime minister and foreign minister in criticizing Washington’s decision to arm the Y.P.G. militant group.,happy
37,lithuania,The defense secretary reassured Baltic nations rattled by recent Russian actions and by cyberattacks against NATO troops stationed in Lithuania.,happy
38,lithuania,"The Royal Air Force tracked the flight, which originated in Kaunas, Lithuania, because of a security threat that the airline later said was most likely a hoax.",happy
39,lithuania,President Trump recapped 10 months of his foreign policy in a speech on Wednesday that contained several inaccurate claims.,happy
40,lithuania,"Lonzo Ball’s younger brothers gave up any chance of playing college basketball by signing with an agent, and will now try to succeed against the pros in Europe.",happy
41,lithuania,"It all started with a message on Twitter in the wee hours of the morning. Less than a week later, the brothers signed a contract and sent the town into a frenzy.",happy
42,lithuania,"From the Jewish districts of historic cities to small, out-of-the-way towns once known as shtetls, the author finds remnants of the past at every turn.",happy
43,lithuania,The viral publisher Bored Panda is thriving on the social network despite the algorithm changes that doomed its competitors.,happy
44,lithuania,Mummified bodies in a crypt in Lithuania are teaching scientists about health and disease among people who lived long ago.,happy
45,lithuania,"Hidden in a church basement and forgotten, the books and documents recently discovered provide sharp new insights into Jewish life and literature.",happy
46,lithuania,President Recep Tayyip Erdogan joined his prime minister and foreign minister in criticizing Washington’s decision to arm the Y.P.G. militant group.,happy
47,lithuania,The defense secretary reassured Baltic nations rattled by recent Russian actions and by cyberattacks against NATO troops stationed in Lithuania.,happy
48,lithuania,"The Royal Air Force tracked the flight, which originated in Kaunas, Lithuania, because of a security threat that the airline later said was most likely a hoax.",happy
49,lithuania,President Trump recapped 10 months of his foreign policy in a speech on Wednesday that contained several inaccurate claims.,happy
0,cambodia,"“Bangsokol,” one of the first symphonic works to reckon with the Khmer Rouge era, has its New York premiere on Friday.",unhappy
1,cambodia,The Hun Sen government no longer even pretends to tolerate a political opposition.,unhappy
2,cambodia,"Nixon said yes, and his decision has warped American foreign policy ever since.",unhappy
3,cambodia,"The crackdown comes after the government arrested the party’s leader, Kem Sokha, and moved against the country’s independent media.",unhappy
4,cambodia,The government says The Daily owes a tax bill of $6.3 million and must pay up or “pack up and go.” Its last print issue will be published on Monday.,unhappy
