,Country,class,Headlines,Snippets,Year
15,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
16,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
17,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
18,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
19,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
20,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
21,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
22,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
23,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
24,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
25,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
26,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
27,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
28,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
29,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
30,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
31,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
32,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
33,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
34,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
35,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
36,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
37,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
38,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
39,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
40,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
41,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
42,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
43,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
44,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
45,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
46,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
47,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
48,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
49,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
50,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
51,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
52,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
53,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
54,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
55,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
56,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
57,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
58,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
59,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
60,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
61,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
62,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
63,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
64,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
65,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
66,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
67,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
68,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
69,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
70,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
71,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
72,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
73,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
74,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
75,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
76,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
77,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
78,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
79,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
80,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
81,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
82,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
83,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
84,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
85,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
86,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
87,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
88,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
89,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
90,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
91,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
92,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
93,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
94,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
95,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
96,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
97,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
98,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
99,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
100,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
101,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
102,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
103,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
104,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
105,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
106,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
107,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
108,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
109,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
110,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
111,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
112,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
113,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
114,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
115,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
116,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
117,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
118,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
119,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
120,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
121,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
122,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
123,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
124,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
125,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
126,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
127,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
128,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
129,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
130,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
131,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
132,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
133,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
134,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
135,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
136,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
137,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
138,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
139,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
140,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
141,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
142,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
143,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
144,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
145,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
146,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
147,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
148,Burundi,Unhappy,36 Burundian Refugees Are Shot Dead in Congo,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",2017
149,Burundi,Unhappy,Canada Letter: Spurning Silicon Valley and Rock’s Native Roots,A weekly collection of news and analysis about and relevant to Canada.,2017
150,Burundi,Unhappy,Burundi Quits International Criminal Court,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",2017
151,Burundi,Unhappy,"We’re Not Done Yet, Hague Court Tells Burundi’s Leaders","The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",2017
152,Burundi,Unhappy,U.N. Group Accuses Burundi Leaders of Crimes Against Humanity,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,2017
153,Burundi,Unhappy,"Raising Fears of a Flight from International Criminal Court, Burundi Heads for Exit","The country’s lower house of Parliament has voted overwhelmingly to withdraw from the International Criminal Court, something that other nations have threatened to do.",2016
154,Burundi,Unhappy,Burundi Robotics Team Vanishes After U.S. Competition,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,2017
155,Burundi,Unhappy,Assassination in Burundi Brings a Vow of Vengeance,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",2017
156,Burundi,Unhappy,Jewish Philanthropists Create a Prize for Christian Missionaries,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",2017
157,Burundi,Unhappy,"Burundians, Fleeing Political Violence, Find Welcome in Canada","It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",2017
