,Headlines,Snippets,Year,Country
65,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
66,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
67,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
68,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
69,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
70,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
71,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
72,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
73,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
74,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
75,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
76,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
77,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
78,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
79,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
80,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
81,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
82,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
83,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
84,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
85,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
86,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
87,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
88,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
89,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
90,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
91,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
92,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
93,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
94,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
95,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
96,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
97,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
98,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
99,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
100,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
101,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
102,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
103,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
104,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
105,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
106,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
107,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
108,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
109,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
110,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
111,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
112,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
113,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
114,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
115,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
116,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
117,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
118,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
119,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
120,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
121,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
122,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
123,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
124,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
125,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
126,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
127,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
128,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
129,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
130,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
131,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
132,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
133,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
134,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
135,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
136,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
137,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
138,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
139,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
140,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
141,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
142,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
143,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
144,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
145,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
146,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
147,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
148,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
149,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
150,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
151,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
152,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
153,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
154,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
155,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
156,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
157,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
158,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
159,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
160,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
161,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
162,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
163,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
164,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
165,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
