Corruption Perceptions Index 2017: Global Scores ,,,,,,,,
,,,,,,,,
Country,ISO3,Region,CPI Score 2017,Rank ,standard error,Lower CI ,Upper CI,number of sources
Greece,GRC,WE/EU,48,59,2.98,43,53,8
Jordan,JOR,MENA,48,59,2.99,43,53,8
Romania,ROU,WE/EU,48,59,3.12,43,53,10
Cuba,CUB,AME,47,62,2.36,43,51,5
Malaysia,MYS,AP,47,62,2.67,43,51,9
Montenegro,MNE,ECA,46,64,2.45,42,50,5
Sao Tome and Principe,STP,SSA,46,64,5.21,37,55,4
Hungary,HUN,WE/EU,45,66,2.89,40,50,10
Senegal,SEN,SSA,45,66,2.52,41,49,9
Belarus,BLR,ECA,44,68,4.12,37,51,7
Jamaica,JAM,AME,44,68,3.96,37,51,7
Oman,OMN,MENA,44,68,7,33,55,5
Bulgaria,BGR,WE/EU,43,71,2.66,39,47,10
South Africa,ZAF,SSA,43,71,3.98,36,50,8
Vanuatu,VUT,AP,43,71,3.93,37,49,3
Burkina Faso,BFA,SSA,42,74,2.18,38,46,7
Lesotho,LSO,SSA,42,74,4.08,35,49,6
Tunisia,TUN,MENA,42,74,3.73,36,48,7
China,CHN,AP,41,77,1.96,38,44,9
Serbia,SRB,ECA,41,77,2.8,36,46,8
Suriname,SUR,AME,41,77,4.08,34,48,4
Trinidad and Tobago,TTO,AME,41,77,5.47,32,50,6
Ghana,GHA,SSA,40,81,2.56,36,44,9
India,IND,AP,40,81,2.16,36,44,9
Morocco,MAR,MENA,40,81,2.6,36,44,7
Turkey,TUR,ECA,40,81,1.8,37,43,8
Argentina,ARG,AME,39,85,2.92,34,44,8
Benin,BEN,SSA,39,85,4.17,32,46,6
Kosovo,KSV,ECA,39,85,2.13,36,42,5
Kuwait,KWT,MENA,39,85,2.47,35,43,6
Solomon Islands,SLB,AP,39,85,3.71,33,45,3
Swaziland,SWZ,SSA,39,85,5.81,29,49,3
Albania,ALB,ECA,38,91,1.81,35,41,8
Bosnia and Herzegovina,BIH,ECA,38,91,2.56,34,42,7
Guyana,GUY,AME,38,91,1.84,35,41,5
Sri Lanka,LKA,AP,38,91,1.82,35,41,7
Timor-Leste,TLS,AP,38,91,7.5,26,50,3
Brazil,BRA,AME,37,96,4.24,30,44,8
Colombia,COL,AME,37,96,2.77,32,42,8
Indonesia,IDN,AP,37,96,3.12,32,42,9
Panama,PAN,AME,37,96,1.79,34,40,7
Peru,PER,AME,37,96,3.35,32,42,8
Thailand,THA,AP,37,96,2.03,34,40,9
Zambia,ZMB,SSA,37,96,2.46,33,41,9
Bahrain,BHR,MENA,36,103,1.81,33,39,4
Côte D'Ivoire,CIV,SSA,36,103,2.03,33,39,8
Mongolia,MNG,AP,36,103,1.4,34,38,9
Tanzania,TZA,SSA,36,103,1.55,33,39,9
Armenia,ARM,ECA,35,107,3.79,29,41,6
Ethiopia,ETH,SSA,35,107,1.36,33,37,9
Macedonia,MKD,ECA,35,107,4.49,28,42,6
Vietnam,VNM,AP,35,107,2.78,30,40,8
Philippines,PHL,AP,34,111,1.9,31,37,9
Algeria,DZA,MENA,33,112,2.32,29,37,6
Bolivia,BOL,AME,33,112,2.98,28,38,6
El Salvador,SLV,AME,33,112,3.25,28,38,7
Maldives,MDV,AP,33,112,1.71,30,36,3
Niger,NER,SSA,33,112,3.27,28,38,6
Ecuador,ECU,AME,32,117,2.66,28,36,7
Egypt,EGY,MENA,32,117,4.04,25,39,7
Gabon,GAB,SSA,32,117,3.22,27,37,4
Pakistan,PAK,AP,32,117,2.11,29,35,8
Togo,TGO,SSA,32,117,3.29,27,37,6
Azerbaijan,AZE,ECA,31,122,5.64,22,40,7
Djibouti,DJI,SSA,31,122,5.32,22,40,4
Kazakhstan,KAZ,ECA,31,122,3.59,25,37,9
Liberia,LBR,SSA,31,122,3.24,26,36,8
Malawi,MWI,SSA,31,122,1.85,28,34,9
Mali,MLI,SSA,31,122,2.08,28,34,7
Nepal,NPL,AP,31,122,2,28,34,6
Moldova,MDA,ECA,31,122,1.54,28,34,9
Gambia,GMB,SSA,30,130,6.22,20,40,6
Iran,IRN,MENA,30,130,3.51,24,36,7
Myanmar,MMR,AP,30,130,3.91,24,36,7
Sierra Leone,SLE,SSA,30,130,1.95,27,33,9
Ukraine,UKR,ECA,30,130,2.27,26,34,9
Dominican Republic,DOM,AME,29,135,2.56,25,33,7
Honduras,HND,AME,29,135,2.32,25,33,8
Kyrgyzstan,KGZ,ECA,29,135,2.59,25,33,7
Laos,LAO,AP,29,135,5.89,19,39,5
Mexico,MEX,AME,29,135,1.69,26,32,9
Papua New Guinea,PNG,AP,29,135,2.55,25,33,6
Paraguay,PRY,AME,29,135,3.1,24,34,6
Russia,RUS,ECA,29,135,2.5,25,33,9
Bangladesh,BGD,AP,28,143,3.19,23,33,8
Guatemala,GTM,AME,28,143,2.19,24,32,7
Kenya,KEN,SSA,28,143,1.94,25,31,9
Lebanon,LBN,MENA,28,143,2.11,25,31,7
Mauritania,MRT,SSA,28,143,2.41,24,32,6
Comoros,COM,SSA,27,148,8.87,12,42,4
Guinea,GIN,SSA,27,148,2.37,23,31,7
Nigeria,NGA,SSA,27,148,1.97,24,30,9
Nicaragua,NIC,AME,26,151,1.29,24,28,8
Uganda,UGA,SSA,26,151,2.11,23,29,9
Cameroon,CMR,SSA,25,153,2.58,21,29,9
Mozambique,MOZ,SSA,25,153,2.87,20,30,8
Madagascar,MDG,SSA,24,155,2.72,20,28,8
Central African Republic,CAF,SSA,23,156,3.28,18,28,5
Burundi,BDI,SSA,22,157,3.29,17,27,6
Haiti,HTI,AME,22,157,2.05,19,25,6
Uzbekistan,UZB,ECA,22,157,2.11,19,25,7
Zimbabwe,ZWE,SSA,22,157,2.22,18,26,9
Cambodia,KHM,AP,21,161,2.43,17,25,8
Congo,COG,SSA,21,161,1.08,19,23,6
Democratic Republic of the Congo,COD,SSA,21,161,1.96,18,24,8
Tajikistan,TJK,ECA,21,161,2.36,17,25,5
Chad,TCD,SSA,20,165,2.73,16,24,6
Eritrea,ERI,SSA,20,165,5.74,11,29,5
Angola,AGO,SSA,19,167,1.28,17,21,5
Turkmenistan,TKM,ECA,19,167,1.78,16,22,5
Iraq,IRQ,MENA,18,169,2.47,14,22,5
Venezuela,VEN,AME,18,169,1.6,15,21,8
"Korea, North",PRK,AP,17,171,4.18,10,24,4
Equatorial Guinea,GNQ,SSA,17,171,3.56,11,23,3
Guinea Bissau,GNB,SSA,17,171,1.7,14,20,5
Libya,LBY,MENA,17,171,3.05,12,22,5
Sudan,SDN,SSA,16,175,2.31,12,20,7
Yemen,YEM,MENA,16,175,1.85,13,19,7
Afghanistan,AFG,AP,15,177,1.39,13,17,5
Syria,SYR,MENA,14,178,1.93,11,17,5
South Sudan,SSD,SSA,12,179,1.56,9,15,5
Somalia,SOM,SSA,9,180,2.26,5,13,5
,,,,,,,,
GLOBAL AVARAGE,,,43.07,,,,,
